"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","30 - 34세",72118,69385,67076,64592,62611,61195,59845,58523,58401,59395,60619,60655,61115,60711,59838,59295,59747,59518,57961,56158,54012,50396,47226,45579,45243,44554,44826,45418,45869,45439,45203,45201,44354,42837,40850,38928,36227,33528,31316
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","35 - 39세",69970,71212,72453,75509,77799,77616,73722,70381,66770,64090,62879,62107,61386,61708,62455,63251,63595,64265,63912,63079,62476,62651,62110,60255,58120,55784,52164,48959,47318,47050,46381,46606,47208,47687,47241,47008,46996,46132,44578
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","40 - 44세",78654,78251,76879,75805,74502,73064,74049,75119,77625,79250,79300,75940,72818,69139,66013,64082,63453,62920,63482,64475,65456,65956,66733,66396,65579,64929,64943,64226,62184,59830,57374,53738,50494,48851,48627,47964,48153,48764,49263
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","45 - 49세",76127,76228,79277,81085,82720,81815,81228,79653,77974,76610,75383,76734,77923,80668,82094,81516,78077,74861,71074,67880,65971,65420,64992,65705,66875,67983,68590,69435,69106,68297,67605,67501,66659,64481,61963,59404,55734,52433,50767
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","50 - 54세",78044,78321,74775,75204,75308,80023,79419,82478,83859,85538,84995,84629,83156,81328,79478,77827,79068,80260,83009,84344,83675,80179,76885,72995,69732,67821,67328,66984,67830,69156,70384,71085,72001,71688,70887,70167,69969,69033,66743
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","55 - 59세",69275,73086,78587,81544,84062,82501,82037,77994,78371,78599,83704,83565,86916,88388,89879,88991,88453,86706,84610,82576,80770,81916,83141,85929,87227,86512,82953,79535,75504,72127,70192,69744,69485,70468,71960,73314,74126,75126,74837
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","60 - 64세",52619,56037,60904,63841,68351,73166,77037,82672,85425,88179,86851,86496,82556,82876,82793,87819,87861,91304,92820,94339,93376,92660,90645,88284,86064,84108,85186,86485,89346,90641,89880,86227,82655,78454,74949,72980,72570,72388,73508
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","65 - 69세",44129,46551,49429,51455,52550,53855,57640,62460,65519,70163,75140,79396,85438,88125,90703,89373,88974,85087,85455,85387,90411,90597,94069,95594,97102,96083,95216,92985,90436,88107,86076,87140,88511,91419,92684,91852,88110,84428,80136
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","70 - 74세",48456,47142,44599,42855,42329,43562,46521,49311,51400,52437,53888,57879,62873,65891,70572,75681,80031,86098,88797,91351,90073,89659,85868,86272,86235,91218,91527,95006,96545,98049,97022,96079,93745,91105,88736,86687,87740,89163,92093
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","75 - 79세",45616,45456,44618,46360,47135,46052,45074,42528,40925,40569,41777,44725,47491,49541,50589,52171,56229,61180,64276,68910,73941,78307,84288,86932,89420,88225,87902,84354,84827,84887,89773,90223,93657,95191,96676,95709,94754,92442,89833
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","80세이상",50011,53358,57945,62163,65926,70211,73503,76293,80586,83912,86102,87559,87356,89823,92400,95098,98382,100021,103567,106405,109917,116311,122041,127842,134455,142053,151678,162090,169278,176953,181955,189501,194578,200274,205860,213371,218989,225131,230057
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","80 - 84세",29395,31594,34521,36387,37653,39443,39705,39197,40927,41814,40790,39828,37821,36739,36777,38249,41020,43453,45408,46475,48086,52066,56758,59818,64221,68999,73299,79022,81539,83906,82861,82717,79590,80146,80349,84987,85609,88916,90447
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","85 - 89세",14241,15169,16280,18041,19738,21270,23476,25805,27137,28215,29824,30353,30274,32092,33141,32632,31997,30410,29955,30391,31845,34247,36103,37829,38849,40402,44105,48210,51028,54863,59021,63013,68112,70258,72264,71332,71411,69039,69700
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","90 - 94세",5191,5299,5719,6081,6504,7455,8232,8994,10063,11153,12302,13810,15296,16376,17236,18358,18770,18848,20263,21076,20860,20492,19426,19539,20206,21383,23084,24128,25419,26255,27507,30415,33321,35410,38114,41046,44143,47918,49323
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","95 - 99세",1046,1142,1246,1459,1819,1806,1811,1974,2103,2311,2777,3154,3508,4098,4638,5136,5783,6409,6885,7265,7787,7991,8072,8831,9238,9167,9003,8485,8793,9301,9942,10770,11112,11813,12285,12978,14584,15993,17053
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","충청남도","여자","100세 이상",138,154,179,195,212,237,279,323,356,419,409,414,457,518,608,723,812,901,1056,1198,1339,1515,1682,1825,1941,2102,2187,2245,2499,2628,2624,2586,2443,2647,2848,3028,3242,3265,3534
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","계",-,-,-,-,-,-,-,-,2185996,2204596,2229353,2240140,2251032,2262220,2273568,2284968,2296359,2307661,2318704,2329446,2339814,2349774,2359305,2368363,2376655,2383927,2390183,2395553,2399983,2403435,2405895,2407312,2407622,2406763,2404654,2401180,2396276,2390008,2382307
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","0 - 4세",-,-,-,-,-,-,-,-,65086,60539,57666,55756,55361,56456,58367,60971,63614,66104,68340,70276,71904,73230,74290,75127,75578,75503,74988,74101,72898,71626,70495,69459,68454,67415,66292,65047,63668,62165,60584
