"행정구역별(읍면동)","연령별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"배방읍","25~29세","총인구_성비","","86.1","","","","","117","","","113.8","116.4",
"배방읍","25~29세","내국인(명)","","4975","","","","","5015","","","5948","6670",
"배방읍","25~29세","내국인_남자(명)","","2286","","","","","2701","","","3164","3600",
"배방읍","25~29세","내국인_여자(명)","","2689","","","","","2314","","","2784","3070",
"배방읍","25~29세","내국인_성비","","85","","","","","116.7","","","113.6","117.3",
"배방읍","30~34세","총인구(명)","","7596","","","","","6151","","","7609","8419",
"배방읍","30~34세","총인구_남자(명)","","3958","","","","","3082","","","4007","4401",
"배방읍","30~34세","총인구_여자(명)","","3638","","","","","3069","","","3602","4018",
"배방읍","30~34세","총인구_성비","","108.8","","","","","100.4","","","111.2","109.5",
"배방읍","30~34세","내국인(명)","","7466","","","","","5946","","","7319","8107",
"배방읍","30~34세","내국인_남자(명)","","3888","","","","","2977","","","3860","4248",
"배방읍","30~34세","내국인_여자(명)","","3578","","","","","2969","","","3459","3859",
"배방읍","30~34세","내국인_성비","","108.7","","","","","100.3","","","111.6","110.1",
"배방읍","35~39세","총인구(명)","","7455","","","","","7841","","","7454","7984",
"배방읍","35~39세","총인구_남자(명)","","3911","","","","","4154","","","3817","4155",
"배방읍","35~39세","총인구_여자(명)","","3544","","","","","3687","","","3637","3829",
"배방읍","35~39세","총인구_성비","","110.4","","","","","112.7","","","104.9","108.5",
"배방읍","35~39세","내국인(명)","","7360","","","","","7660","","","7186","7697",
"배방읍","35~39세","내국인_남자(명)","","3860","","","","","4057","","","3681","3997",
"배방읍","35~39세","내국인_여자(명)","","3500","","","","","3603","","","3505","3700",
"배방읍","35~39세","내국인_성비","","110.3","","","","","112.6","","","105","108",
"배방읍","40~44세","총인구(명)","","6424","","","","","7536","","","8939","9138",
"배방읍","40~44세","총인구_남자(명)","","3421","","","","","3975","","","4739","4838",
"배방읍","40~44세","총인구_여자(명)","","3003","","","","","3561","","","4200","4300",
"배방읍","40~44세","총인구_성비","","113.9","","","","","111.6","","","112.8","112.5",
"배방읍","40~44세","내국인(명)","","6345","","","","","7408","","","8732","8921",
"배방읍","40~44세","내국인_남자(명)","","3376","","","","","3906","","","4629","4727",
"배방읍","40~44세","내국인_여자(명)","","2969","","","","","3502","","","4103","4194",
"배방읍","40~44세","내국인_성비","","113.7","","","","","111.5","","","112.8","112.7",
"배방읍","45~49세","총인구(명)","","5153","","","","","6753","","","7340","7719",
"배방읍","45~49세","총인구_남자(명)","","2754","","","","","3565","","","3795","4045",
"배방읍","45~49세","총인구_여자(명)","","2399","","","","","3188","","","3545","3674",
"배방읍","45~49세","총인구_성비","","114.8","","","","","111.8","","","107.1","110.1",
"배방읍","45~49세","내국인(명)","","5062","","","","","6624","","","7201","7560",
"배방읍","45~49세","내국인_남자(명)","","2711","","","","","3495","","","3719","3962",
"배방읍","45~49세","내국인_여자(명)","","2351","","","","","3129","","","3482","3598",
"배방읍","45~49세","내국인_성비","","115.3","","","","","111.7","","","106.8","110.1",
"배방읍","50~54세","총인구(명)","","3987","","","","","5501","","","6978","7314",
"배방읍","50~54세","총인구_남자(명)","","2137","","","","","2904","","","3758","3891",
"배방읍","50~54세","총인구_여자(명)","","1850","","","","","2597","","","3220","3423",
"배방읍","50~54세","총인구_성비","","115.5","","","","","111.8","","","116.7","113.7",
"배방읍","50~54세","내국인(명)","","3914","","","","","5390","","","6821","7158",
"배방읍","50~54세","내국인_남자(명)","","2103","","","","","2842","","","3670","3807",
"배방읍","50~54세","내국인_여자(명)","","1811","","","","","2548","","","3151","3351",
"배방읍","50~54세","내국인_성비","","116.1","","","","","111.5","","","116.5","113.6",
"배방읍","55~59세","총인구(명)","","2964","","","","","4166","","","5083","5720",
"배방읍","55~59세","총인구_남자(명)","","1483","","","","","2189","","","2609","2974",
"배방읍","55~59세","총인구_여자(명)","","1481","","","","","1977","","","2474","2746",
"배방읍","55~59세","총인구_성비","","100.1","","","","","110.7","","","105.5","108.3",
"배방읍","55~59세","내국인(명)","","2910","","","","","4086","","","4962","5587",
"배방읍","55~59세","내국인_남자(명)","","1458","","","","","2145","","","2547","2905",
"배방읍","55~59세","내국인_여자(명)","","1452","","","","","1941","","","2415","2682",
"배방읍","55~59세","내국인_성비","","100.4","","","","","110.5","","","105.5","108.3",
"배방읍","60~64세","총인구(명)","","1933","","","","","3203","","","4357","4529",
"배방읍","60~64세","총인구_남자(명)","","933","","","","","1579","","","2262","2344",
"배방읍","60~64세","총인구_여자(명)","","1000","","","","","1624","","","2095","2185",
"배방읍","60~64세","총인구_성비","","93.3","","","","","97.2","","","108","107.3",
"배방읍","60~64세","내국인(명)","","1890","","","","","3135","","","4273","4439",
"배방읍","60~64세","내국인_남자(명)","","909","","","","","1550","","","2221","2304",
"배방읍","60~64세","내국인_여자(명)","","981","","","","","1585","","","2052","2135",
"배방읍","60~64세","내국인_성비","","92.7","","","","","97.8","","","108.2","107.9",
"배방읍","65~69세","총인구(명)","","1380","","","","","2070","","","2969","3374",
"배방읍","65~69세","총인구_남자(명)","","651","","","","","986","","","1424","1651",
"배방읍","65~69세","총인구_여자(명)","","729","","","","","1084","","","1545","1723",
"배방읍","65~69세","총인구_성비","","89.3","","","","","91","","","92.2","95.8",
"배방읍","65~69세","내국인(명)","","1362","","","","","2041","","","2925","3314",
"배방읍","65~69세","내국인_남자(명)","","647","","","","","971","","","1404","1623",
"배방읍","65~69세","내국인_여자(명)","","715","","","","","1070","","","1521","1691",
"배방읍","65~69세","내국인_성비","","90.5","","","","","90.7","","","92.3","96",
"배방읍","70~74세","총인구(명)","","1071","","","","","1473","","","1889","2070",
"배방읍","70~74세","총인구_남자(명)","","467","","","","","654","","","875","945",
"배방읍","70~74세","총인구_여자(명)","","604","","","","","819","","","1014","1125",
"배방읍","70~74세","총인구_성비","","77.3","","","","","79.9","","","86.3","84",
"배방읍","70~74세","내국인(명)","","1063","","","","","1464","","","1871","2049",
"배방읍","70~74세","내국인_남자(명)","","463","","","","","651","","","871","939",
"배방읍","70~74세","내국인_여자(명)","","600","","","","","813","","","1000","1110",
"배방읍","70~74세","내국인_성비","","77.2","","","","","80.1","","","87.1","84.6",
"배방읍","75~79세","총인구(명)","","816","","","","","1051","","","1308","1489",
"배방읍","75~79세","총인구_남자(명)","","338","","","","","462","","","561","650",
"배방읍","75~79세","총인구_여자(명)","","478","","","","","589","","","747","839",
"배방읍","75~79세","총인구_성비","","70.7","","","","","78.4","","","75.1","77.5",
"배방읍","75~79세","내국인(명)","","810","","","","","1045","","","1300","1477",
"배방읍","75~79세","내국인_남자(명)","","335","","","","","459","","","559","647",
"배방읍","75~79세","내국인_여자(명)","","475","","","","","586","","","741","830",
"배방읍","75~79세","내국인_성비","","70.5","","","","","78.3","","","75.4","78",
"배방읍","80~84세","총인구(명)","","565","","","","","760","","","940","1001",
"배방읍","80~84세","총인구_남자(명)","","194","","","","","281","","","370","399",
