읍면동,연도,항목,값
둔포면,2015,총인구 (명),13592.0
둔포면,2015,남자 (명),8156.0
둔포면,2015,여자 (명),5436.0
둔포면,2015,내국인-계 (명),10614.0
둔포면,2015,내국인-남자 (명),5847.0
둔포면,2015,내국인-여자 (명),4767.0
둔포면,2015,외국인-계 (명),2978.0
둔포면,2015,외국인-남자 (명),2309.0
둔포면,2015,외국인-여자 (명),669.0
둔포면,2015,가구-계 (가구),5240.0
둔포면,2015,일반가구 (가구),4598.0
둔포면,2015,집단가구 (가구),12.0
둔포면,2015,외국인가구 (가구),630.0
둔포면,2015,주택_계 (호),4394.0
둔포면,2015,주택_단독주택 (호),1823.0
둔포면,2015,주택_아파트 (호),1846.0
둔포면,2015,주택_연립주택 (호),149.0
둔포면,2015,주택_다세대주택 (호),487.0
둔포면,2015,주택_비주거용 건물 내 주택 (호),89.0
둔포면,2015,주택 이외의 거처_계 (호),325.0
둔포면,2020,총인구 (명),27006.0
둔포면,2020,남자 (명),15861.0
둔포면,2020,여자 (명),11145.0
둔포면,2020,내국인-계 (명),20824.0
둔포면,2020,내국인-남자 (명),11778.0
둔포면,2020,내국인-여자 (명),9046.0
둔포면,2020,외국인-계 (명),6182.0
둔포면,2020,외국인-남자 (명),4083.0
둔포면,2020,외국인-여자 (명),2099.0
둔포면,2020,가구-계 (가구),11903.0
둔포면,2020,일반가구 (가구),9860.0
둔포면,2020,집단가구 (가구),30.0
둔포면,2020,외국인가구 (가구),2013.0
둔포면,2020,주택_계 (호),9235.0
둔포면,2020,주택_단독주택 (호),2631.0
둔포면,2020,주택_아파트 (호),5635.0
둔포면,2020,주택_연립주택 (호),251.0
둔포면,2020,주택_다세대주택 (호),611.0
둔포면,2020,주택_비주거용 건물 내 주택 (호),107.0
둔포면,2020,주택 이외의 거처_계 (호),534.0
영인면,2015,총인구 (명),7009.0
영인면,2015,남자 (명),3972.0
영인면,2015,여자 (명),3037.0
영인면,2015,내국인-계 (명),5954.0
영인면,2015,내국인-남자 (명),3139.0
영인면,2015,내국인-여자 (명),2815.0
영인면,2015,외국인-계 (명),1055.0
영인면,2015,외국인-남자 (명),833.0
영인면,2015,외국인-여자 (명),222.0
영인면,2015,가구-계 (가구),2567.0
영인면,2015,일반가구 (가구),2385.0
영인면,2015,집단가구 (가구),18.0
영인면,2015,외국인가구 (가구),164.0
영인면,2015,주택_계 (호),2079.0
영인면,2015,주택_단독주택 (호),1929.0
영인면,2015,주택_아파트 (호),
영인면,2015,주택_연립주택 (호),
영인면,2015,주택_다세대주택 (호),115.0
영인면,2015,주택_비주거용 건물 내 주택 (호),35.0
영인면,2015,주택 이외의 거처_계 (호),203.0
영인면,2020,총인구 (명),6144.0
영인면,2020,남자 (명),3527.0
영인면,2020,여자 (명),2617.0
영인면,2020,내국인-계 (명),5256.0
영인면,2020,내국인-남자 (명),2779.0
영인면,2020,내국인-여자 (명),2477.0
영인면,2020,외국인-계 (명),888.0
영인면,2020,외국인-남자 (명),748.0
영인면,2020,외국인-여자 (명),140.0
영인면,2020,가구-계 (가구),2506.0
영인면,2020,일반가구 (가구),2313.0
영인면,2020,집단가구 (가구),16.0
영인면,2020,외국인가구 (가구),177.0
영인면,2020,주택_계 (호),2208.0
영인면,2020,주택_단독주택 (호),2043.0
영인면,2020,주택_아파트 (호),
영인면,2020,주택_연립주택 (호),
영인면,2020,주택_다세대주택 (호),131.0
영인면,2020,주택_비주거용 건물 내 주택 (호),34.0
영인면,2020,주택 이외의 거처_계 (호),259.0
인주면,2015,총인구 (명),8406.0
인주면,2015,남자 (명),4825.0
인주면,2015,여자 (명),3581.0
인주면,2015,내국인-계 (명),7459.0
인주면,2015,내국인-남자 (명),4091.0
인주면,2015,내국인-여자 (명),3368.0
인주면,2015,외국인-계 (명),947.0
인주면,2015,외국인-남자 (명),734.0
인주면,2015,외국인-여자 (명),213.0
인주면,2015,가구-계 (가구),3556.0
인주면,2015,일반가구 (가구),3366.0
인주면,2015,집단가구 (가구),9.0
인주면,2015,외국인가구 (가구),181.0
인주면,2015,주택_계 (호),3452.0
인주면,2015,주택_단독주택 (호),1271.0
인주면,2015,주택_아파트 (호),1969.0
인주면,2015,주택_연립주택 (호),109.0
인주면,2015,주택_다세대주택 (호),65.0
인주면,2015,주택_비주거용 건물 내 주택 (호),38.0
인주면,2015,주택 이외의 거처_계 (호),122.0
인주면,2020,총인구 (명),7382.0
인주면,2020,남자 (명),4432.0
인주면,2020,여자 (명),2950.0
인주면,2020,내국인-계 (명),6340.0
인주면,2020,내국인-남자 (명),3586.0
인주면,2020,내국인-여자 (명),2754.0
인주면,2020,외국인-계 (명),1042.0
인주면,2020,외국인-남자 (명),846.0
인주면,2020,외국인-여자 (명),196.0
인주면,2020,가구-계 (가구),3248.0
인주면,2020,일반가구 (가구),3011.0
인주면,2020,집단가구 (가구),17.0
인주면,2020,외국인가구 (가구),220.0
인주면,2020,주택_계 (호),3420.0
인주면,2020,주택_단독주택 (호),1235.0
인주면,2020,주택_아파트 (호),1969.0
인주면,2020,주택_연립주택 (호),109.0
인주면,2020,주택_다세대주택 (호),65.0
인주면,2020,주택_비주거용 건물 내 주택 (호),42.0
인주면,2020,주택 이외의 거처_계 (호),172.0
선장면,2015,총인구 (명),3753.0
선장면,2015,남자 (명),2056.0
선장면,2015,여자 (명),1697.0
선장면,2015,내국인-계 (명),3274.0
선장면,2015,내국인-남자 (명),1676.0
선장면,2015,내국인-여자 (명),1598.0
선장면,2015,외국인-계 (명),479.0
선장면,2015,외국인-남자 (명),380.0
선장면,2015,외국인-여자 (명),99.0
